Ticker,Accounting_Assets,Accounting_Debt_D,Estimated_Shares_N,Market_Equity_Ve,Sigma_e,Calculated_Va,Calculated_Sigma_a,Distance_to_Default,Probability_of_Default
ADBE,224.489,317.708,1.0486511751811207,1.4928875213741883,0.6853466529742137,312.8537579620487,0.0036461480324932603,1.2606414253694804,0.1037190332285906
AFIIQ,517.0,317.8,32.18093669767238,9.48694056660117,1.6145526287764438,290.25146860674073,0.15159361868189658,-0.5420075532538546,0.7060933487344137
AIV,226.0,122.0,271.8478364223779,132.06273860568393,0.18442831355786107,251.64697674910803,0.0967868101557289,7.638668225600818,1.0974002718596261e-14
ALX,188.057,86.763,10.832020207228522,39.853377218528195,0.6122896417255833,124.67800721731324,0.20015017189418577,1.811260809820935,0.035050244537360956
AME,492.987,465.633,27.904311782325433,35.40491484515776,0.30414722061550986,491.8169024727101,0.021901756362197704,3.400132979754211,0.0003367654425127761
AP,191.941,208.81,0.14719071747992943,0.6132121642169996,0.2198963314881747,205.2884970658745,0.000656848585905335,4.554062128628244,2.63099021046023e-06
ASGXF,3632.0,1706.0,895.8139137528035,44.79069635507349,2.2045418340458736,993.1635455661444,0.48687101820227874,-1.313557491379326,0.9055024191150483
BBEPQ,4872.412,3466.517,250.96367916967145,48.38579742169737,1.3369803134289546,3382.7325735332124,0.04113275226601549,-0.12915397710648482,0.5513820939672053
BBY,716.6,484.0,142.5717405932467,192.7564151503547,0.5190113045292041,666.8082370148436,0.15156650042069453,2.1702117169524904,0.014995405430794594
BLIAQ,1538.3,1853.0,0.8403360940467084,0.046218484922129224,1.4763424694442355,1816.2371478983086,0.00010562389416427314,-0.37011680720201373,0.6443522701869006
BONTQ,1505.063,1527.844,0.8945343837058957,0.13400125298249818,1.591539975159518,1497.1904640847313,0.00048785185112219445,-0.5480812027679987,0.7081819265465257
BSHVF,1026.878,1145.255,7.692307974459869,1.076923121009354,0.12113329325451158,1123.6543547189374,0.00011609552678004255,8.259269220689381,7.328350671652492e-17
CAL,1053.069,1003.2,10.616030912123222,46.39683757259105,0.2869721206446672,1029.731559999309,0.012932459135961798,3.5584594765787547,0.0001865181648699208
CASY,364.329,294.231,63.36596043349554,174.9397693769674,0.47941705686459013,463.25032178496247,0.1816760178093283,2.517664711442992,0.005906785949179473
CDVIQ,650.682,408.665,138.29542857142857,8.021134626337453,2.3856670753381883,193.53342635584465,0.5831339973878865,-1.539042723311023,0.9381030667404406
CHNGQ,288.500809,84.25985,105.824333964097,204.240959,0.0,286.8323521830255,-43275.121259033636,21637.56060074758,0.0
CLH,4366.804,3084.552,1578.1563076923076,1380.886769230769,1.0282472172270118,4263.083041059788,0.3872281673155627,0.693682394417106,0.2439407046399258
CL,341.694,372.857,1.535386089216891,1.4310949339042967,0.2634931869544582,366.90502532174685,0.0010278156860610527,3.80178246465552,7.182941752963303e-05
CMLS,2412.691,2904.429,0.775193821373099,0.11635658696955563,1.3059406896630985,2846.8876977053615,0.0001150740168906969,-0.09088292842169554,0.5362071924025957
CMTV,1694.0,1458.0,61.501923364643,284.5011772810846,0.7371807851885918,1704.311659219969,0.1343623508477664,1.2434216503597553,0.10685624811184674
CRMT,401.0,517.0,0.2608695868508369,0.8695652065745814,0.6417344711424542,507.609817103962,0.001196615294326632,1.3951730727070564,0.0814818274873852
CVOVQ,912.959,1502.116,0.1375515822040699,0.19394772631645918,1.1522556000792172,1472.4433661327753,0.0002651192000425778,0.1824044057584065,0.4276326842564612
CWCO,243.628,318.935,0.3967288604907693,0.7105266368892507,0.79056963529594,313.27041263486603,0.002151641463980684,0.9653655955881577,0.1671808636681622
DXCM,2835.418,2794.809,14.99870740021332,61.23222267529324,0.3312499342035764,2800.6938384410564,0.007250430230996865,3.0449411824347488,0.0011636290914599752
DXLG,245.1,258.0,0.6666666666666666,3.0333334604899087,0.7760624401004237,255.70107076237224,0.010876212746407042,1.0104931922522624,0.1561295297011136
EARN,844.917,533.156,99.53029144078735,358.58338072961965,0.22446797777990546,881.1821845404457,0.09134375169866643,5.673934812811192,6.977712721169974e-09
EP,298.835,224.963,92.33999862402678,55.404001375973195,2.5299776653984836,109.90256760193878,1.8195801324282457,-1.2924836929556953,0.9019051551890714
ESINQ,664.014,502.878,41.529895682288824,14.867703080023844,1.2852349232011138,493.2885455028846,0.07465567540376843,-0.02732602775908506,0.5109001512663935
ET,1100.5,1053.224,5.772698745056865,25.118706895369193,0.43250075002549004,1057.4491966410149,0.01037985856744403,2.3073323032585993,0.01051815100215762
EVI,1027.0,1126.76,3.0183667872024844,1.49999986506849,1.115518636467827,1105.1555342406925,0.002520602231219338,0.2525768149718196,0.400297624091131
EXK,1524.842,1462.751,15.679545303503266,68.99000083073234,0.568644491326968,1502.052308429592,0.027288341018129866,1.690873858885374,0.04543044848468378
FBNC,9943.467,9634.839,322.77682067240426,384.4339991008493,0.5155583260111095,9826.361693559233,0.020733026964776035,1.9036401180016538,0.028478535098974595
FDLSX,218.732,229.818,3.771843395312292,1.0727825782961613,0.15045359806323794,226.34008128030774,0.0007131039183753493,6.6620122748180775,1.3505173108128876e-11
FFDF,7451.0,7192.0,133.9694696413386,347.81025801947123,0.8677343810196178,7355.94168013583,0.050955760688483134,0.8093459111794379,0.2091581024428828
FIX,265.622,247.856,8.30371344367732,26.68227480881327,0.6378971833450992,269.15228807286314,0.06725902825111403,1.4892799952280695,0.06820682664840098
FLG,3476.7,3047.0,232.86527025301956,834.1760899608196,0.22201876703701617,3820.8414418934203,0.04847172547710831,5.057348683322778,2.1256275508337738e-07
FLSS,312.881,340.109,4.545454570084564,0.22727273189085548,1.729508544007172,332.07986823276735,0.005196261859751494,-0.7513378253525685,0.7737753147486912
FLXS,245.3,,,,0.45409763391095237,,,,
FMNB,3435.545,3379.0,18.28856390304015,45.76761185051415,0.649078549486652,3356.6422036713284,0.00964272933734035,1.3808156217905372,0.08366782948966872
FRNWF,36446.0,49701.0,0.22903661426072788,0.327569362648332,1.1188379169770213,48717.15027772394,-621266.4983034332,310633.2491517166,0.0
FRO,280.8,760.0,0.2005144539216857,0.7914470481812688,0.5948971530593589,745.7295215737361,0.0006715947445486786,1.5549616046786652,0.059977606954750226
GBR,1327.798,1187.508,110.4645685881452,228.661649603155,1.7316250306761116,1021.2467231349515,0.6901508571024182,-0.5346467866004173,0.7035529377197683
GD,964.666,742.391,106.05911823474034,158.40422333724226,0.19671252527040164,886.0948965612547,0.03516564107047244,5.582997377888443,1.1820415539414987e-08
GHM,428.859,209.0,188.54696371696303,201.5374204127582,0.46746028441716425,406.36874321592205,0.2320863226029065,2.8351291537314163,0.002290358144480931
GLBR,1039.024,1043.327,0.1129943454119862,0.12655366740022359,1.7486217996524778,1021.8762633227026,0.0009933357064757546,-0.7799252045767584,0.7822825491028955
GNTX,1164.8,1307.0,0.23040853625375404,0.9652952108272078,0.40171804225423224,1282.0841066596802,0.00030450673257566405,2.471147861556905,0.006734005973596892
GOK,392.896,593.53,39.99999940395361,2.0,1.2029249817160472,582.206904652806,0.007653301943717194,0.09261936207671564,0.46310298057693067
GSIT,520.317,367.64,47.41521697001236,166.42741111255663,0.4709071541562124,526.6722350955167,0.1494756717475015,2.4639643310868378,0.006870489253321122
GTX,2275.0,4408.0,0.09742068965132795,0.1908831899567617,1.1926768652379895,4320.761089614635,9.702081472376376e-05,0.10810394557224635,0.4569566191923224
HCSG,313.667,195.727,164.57006249771277,105.35971894659447,0.7179516852142463,295.83956729546117,0.2661096683051693,1.4944563968574045,0.06752818521630775
HEI,211.77,204.165,17.813211785161563,11.08382971049196,0.39598934373046635,211.19939484510775,0.02088177087630715,2.5695221061229083,0.005091944703513999
HGGG,385.352,263.998,58.625122663598624,11.725024707436203,1.3560164991008878,256.5647025556504,0.12457894664759835,-0.1310060832385735,0.5521147524230486
HOKUQ,502.593,405.776,806.8083513669059,33.07914331974408,2.291892052914961,179.52090251611915,1.0432383153166531,-1.284157900553406,0.9004566438743878
HOMB,690.0,637.0,17.044573971357355,51.50863066195384,0.63211706112967,674.9490828032447,0.05141511952203197,1.4887807910384836,0.06827255109385527
HSKCF,1161.369,1055.031,0.0029372013034697393,-292.42952868360635,0.0,762.6014713163936,-0.0,inf,0.0
HTLD,372.1,326.0,11.09328839045685,32.471454750241065,0.5120200746640909,351.8771280512006,0.04829775498116854,1.9714856047784097,0.024334178981027313
ICC,1128.244,1394.127,28.571428449786453,31.428571975961034,53.469843277077295,-1116.0248916248042,614.4850814315432,,
IPAR,623.0,1108.0,0.7810675063247636,1.0980388414185682,0.37407901490085055,1087.157676102631,0.0003792908716144721,2.6628470425233943,0.003874131281622396
LFA,10736.148,7749.348,809.2115991188265,2986.7999999999993,4.479557769949769,3122.289409990953,4.387147618878902,-2.3962207842032064,0.9917174455334226
LYTS,1145.776,767.46,168.2524441526378,101.53778416168464,0.6563781215539083,851.7884608011288,0.08350939761516583,1.4461239503706451,0.07407121960458932
MAJCQ,436.191,421.757,2.561036124813217,0.6402590312033043,1.843129095017295,407.6055844472213,0.015635470085019774,-0.911488469876156,0.818980970974287
MCY,290.919,262.29,13.996207791335856,62.94902491439929,0.36097005136944604,320.0395162537013,0.07106459539623186,3.046082582124865,0.0011592207382848056
MGA,1243.0,880.0,31.68277231289603,126.73513806777859,0.544213157676881,988.5847623187349,0.07164861674262153,1.8672477408445551,0.030933499765003238
MGM,1034.578,1002.33,15.696448724356634,64.49599999999987,0.4076385436841512,1046.9296111810586,0.02525735775730113,2.5028526088478333,0.0061598418780652265
NC,474.1,412.0,30.475932877340323,44.449726593734944,0.45046685777024453,448.22358561206426,0.04511449569155688,2.2886474325465755,0.01104992279814293
NORNQ,1087.6,1259.5,0.041609630353900265,0.013310921002193622,1.4492187761965643,1234.5432620978982,4.202373187371563e-05,-0.32705990447644034,0.6281887114378448
NPNTQ,479.0,171.0,11.0,8.25,1.8598109575713313,130.9587233815074,0.3710442827829786,-0.85062165402164,0.8025102216396158
NRTSF,431.038,216.25,250.48162777800215,30.683999999999976,1.39637396486095,215.99134657249337,0.3369469541777152,-0.11266885065686882,0.5448534512311551
NSLPQ,377.465,166.151,44.15636213675872,1.8104108976136668,2.578327763339476,66.70113288040389,0.598948044382495,-1.7898788817139497,0.9632633077448431
NUE,730.88,615.535,172.45826422412108,56.970371486077994,0.3964910436174208,660.2876966499156,0.034351030436385266,2.60818490528569,0.0045511885290936424
NVR,1570.854,1690.431,0.6153846153846154,0.576923076923077,1.320524353755128,1656.765723792765,0.0010117643772482,-0.11533827016272409,0.5459114972230484
NXTYQ,947.0,881.0,439.9999825159718,66.0,2.571531988578776,258.39569494614227,1.444104042450037,-1.5575635073258614,0.9403316224897098
PAAS,700.6,679.224,10.648001804250024,44.42085810901243,0.5203074776093891,709.9552563322673,0.03343362099688922,1.905030724514958,0.028388038682626654
PNFP,1034.3,951.0,30.629931715391066,147.27435209399408,0.6200914481625787,1077.510657472975,0.08894465893649459,1.584570403870531,0.05653198688420655
PPC,3298.709,2947.0,21.259880503568116,15.655340264649446,1.6244302307839418,2837.50311623605,0.0311027429685069,-0.5898808682028494,0.7223647392922581
PPSI,590.0,717.0,0.3722502163758343,0.5890097228898296,0.6428785983720599,703.3760377142634,0.0005864764420452266,1.390747270774088,0.08215103887320196
PTBTQ,662.019,542.0,23.579370609444712,2.593730752984517,1.7983698288417453,512.893949672232,0.042885317504132145,-0.8421641894094651,0.8001519722257309
QUBT,501.737,148.067,176.835,742.7069662714005,4.896101996436245,747.335577656109,4.879224637271412,-2.103729147461158,0.9822989598051117
RLI,201.249,133.313,468.8408464052409,145.69608315738077,0.39543572272771604,276.36772014303983,0.20848933918047513,3.4884212885820247,0.00024294092716693213
RTW,411.984,396.027,15.347695989146985,23.021543983720477,0.32185437218913443,411.2053245098608,0.01803140311948412,3.1859809183778975,0.0007213205597398337
SHJ,476.94,432.0,7.1903999999999995,25.1664,2.242909399319169,206.35793611611615,0.8337654923160133,-1.2790117019830385,0.8995535324370291
SLM,192.8,199.0,1.4418380487026805,1.9445157748475592,0.2602686427887608,197.0040451593432,0.0025691091939666587,3.8597570974075404,5.674989431576816e-05
SSNLF,414.0,407.0,0.05010378400694187,0.12157482912909354,6.626123271547277,7.001125757190186,1.7157899044093505,-3.2140938180872514,0.9993457154516104
STLD,2308.0,2618.0,0.49941524784989577,1.0443353102901376,0.4710500232061795,2567.2010002275965,0.00019532041193125722,2.076146905429546,0.018940183058305683
TELFY,226.283,237.506,2.1320744466536157,1.079071595642806,0.20840027882131568,233.8821376652986,0.0009615056255140823,4.809077130655822,7.581434789940355e-07
TGIC,896.227,1599.801,16.66666703919573,7.33333345750969,3.3286706694495796,94.11361066036507,1.5863457581555358,-2.5665138008230697,0.9948636731337899
TMCV,1513.442,1467.0,12.417647027159385,0.12417646749603244,6.018781239224602,136.66162015748392,0.8167285324884082,-3.289942097620944,0.9994989599943508
TXT,177.991,103.84,52.1849976532746,84.85732502272731,0.31260572434381334,186.64111370176033,0.14212879713071191,4.195040388727226,1.3641148472923646e-05
TY,5095.197,4865.534,119.44845772211093,222.03455880844535,0.1533428769854065,4991.224530537294,0.006821455903224833,6.6674237644653545,1.3016630433957692e-11
UG,652.4,573.0,78.24798730279564,183.99607787023422,0.5263967255361949,745.1653384694062,0.13175578936375304,2.0799132636306856,0.018766744617025755
UHAL,3805.666,3478.218,260.4225028953503,113.16048726923913,1.5668557958259461,3216.3576928271927,0.14743270135151804,-0.46895109241671257,0.6804477025582922
UPM,971.486,3963.423,100.00000223517505,0.8300000055879326,45.255461900423505,69.27690033765093,2.2044033703804584,-2.9288872440818823,0.9982991110007338
USA,2173.347,1378.969,417.28286235166496,777.3811738155496,0.16175250343836411,2129.0447581466924,0.059060924158212305,7.66315800749535,9.07079612661697e-15
USMJ,690.304,520.217,42.52175,0.5230175077654414,14.937065475025982,4.820482320636834,3.090615186097151,-3.053541961277123,0.9988692145446986
VLY,2483.0,2370.0,17.654619991399844,78.58010281150014,0.8237731685707745,2394.1879902636274,0.032745254284092876,0.9044989664831946,0.18286544107234132
VTR,1717.89,1402.902,103.36923955260235,114.52630718146266,0.7481472837572224,1484.087026991225,0.065213702039658,1.1367308158480895,0.12782541644297907
WAXS,1630.0,733.0,46.5974025974026,10.204831018850397,1.605408951239478,691.5348702827449,0.07463566034643636,-0.5495679376696622,0.7086921224881886
WGO,630.15,399.264,306.33942057135073,272.86509843440945,0.8551807777232265,656.8328776903483,0.37770089960673336,1.1820934970623747,0.11858430220169336
WIREX,276.733,386.427,0.38862455871748,1.1524750690027297,0.21305789191513638,379.9277077363597,0.0006462919695407817,4.700363683712037,1.298492831073787e-06
WTBA,1655.553,1636.0,8.090747820359914,28.833923602127577,0.5742745869816065,1632.0829320368844,0.010667468145732998,1.6448078954920793,0.0500047167207455
XOXO,250.02,239.0,23.95652130454613,13.41565198766263,2.1707054027786197,127.0582983245454,0.7259873072792011,-1.205732256285148,0.8860396282829743
